MAIN: rcv event, t=48.039, at 3 src: 0, dest: 3, contents:   2   1   3   7
MAIN: rcv event, t=48.405, at 2 src: 0, dest: 2, contents:   4   1   3   7
MAIN: rcv event, t=48.597, at 3 src: 0, dest: 3, contents:   2   1   3   7
MAIN: rcv event, t=48.663, at 1 src: 2, dest: 1, contents:   1   1   0   2
MAIN: rcv event, t=48.857, at 0 src: 2, dest: 0, contents:   1   1   0   2
MAIN: rcv event, t=49.043, at 2 src: 0, dest: 2, contents:   2   1   3   7
MAIN: rcv event, t=49.343, at 3 src: 2, dest: 3, contents:   1   1   0   2
MAIN: rcv event, t=50.252, at 0 src: 3, dest: 0, contents:   4 999   3   0
MAIN: rcv event, t=50.387, at 1 src: 2, dest: 1, contents:   1   1   0   2
MAIN: rcv event, t=50.583, at 0 src: 2, dest: 0, contents:   1   1   0   2
MAIN: rcv event, t=50.728, at 2 src: 3, dest: 2, contents:   4 999   3   0
MAIN: rcv event, t=51.061, at 3 src: 0, dest: 3, contents:   4   1   3   7
MAIN: rcv event, t=51.438, at 1 src: 0, dest: 1, contents:   4   1   3   7
MAIN: rcv event, t=51.691, at 3 src: 2, dest: 3, contents:   1   1   0   2
MAIN: rcv event, t=51.957, at 2 src: 1, dest: 2, contents:   2   0   1 999
MAIN: rcv event, t=52.001, at 0 src: 2, dest: 0, contents:   1   1   0   2
MAIN: rcv event, t=52.517, at 0 src: 1, dest: 0, contents:   2   0   1 999
MAIN: rcv event, t=52.965, at 0 src: 2, dest: 0, contents:   1   1   0   2
MAIN: rcv event, t=53.351, at 1 src: 0, dest: 1, contents:   2   1   3   7
MAIN: rcv event, t=53.510, at 3 src: 2, dest: 3, contents:   1   1   0   2
MAIN: rcv event, t=53.774, at 2 src: 1, dest: 2, contents:   2   0   1 999
MAIN: rcv event, t=54.019, at 2 src: 0, dest: 2, contents:   4   1   3   7
MAIN: rcv event, t=54.108, at 0 src: 3, dest: 0, contents:   4 999   3   0
MAIN: rcv event, t=54.296, at 2 src: 3, dest: 2, contents:   4 999   3   0
MAIN: rcv event, t=54.416, at 2 src: 3, dest: 2, contents:   4 999   3   0
MAIN: rcv event, t=54.803, at 0 src: 2, dest: 0, contents:   1   1   0   2
MAIN: rcv event, t=54.877, at 3 src: 0, dest: 3, contents:   2   1   3   7
MAIN: rcv event, t=55.184, at 1 src: 2, dest: 1, contents:   1   1   0   2
MAIN: rcv event, t=55.498, at 1 src: 2, dest: 1, contents:   1   1   0   2
MAIN: rcv event, t=55.567, at 3 src: 0, dest: 3, contents:   2   1   3   7
MAIN: rcv event, t=55.807, at 2 src: 3, dest: 2, contents:   4 999   3   0
MAIN: rcv event, t=55.811, at 2 src: 0, dest: 2, contents:   2   1   3   7
MAIN: rcv event, t=56.022, at 2 src: 3, dest: 2, contents:   4 999   3   0
MAIN: rcv event, t=56.261, at 1 src: 0, dest: 1, contents:   4   1   3   7
MAIN: rcv event, t=56.554, at 1 src: 2, dest: 1, contents:   1   1   0   2
MAIN: rcv event, t=56.570, at 1 src: 2, dest: 1, contents:   1   1   0   2
MAIN: rcv event, t=56.745, at 3 src: 0, dest: 3, contents:   2   1   3   7
MAIN: rcv event, t=56.759, at 1 src: 0, dest: 1, contents:   2   1   3   7
MAIN: rcv event, t=56.786, at 0 src: 1, dest: 0, contents:   2   0   1 999
MAIN: rcv event, t=57.210, at 2 src: 1, dest: 2, contents:   2   0   1 999
MAIN: rcv event, t=57.718, at 0 src: 2, dest: 0, contents:   1   1   0   2
MAIN: rcv event, t=57.873, at 0 src: 1, dest: 0, contents:   2   0   1 999
MAIN: rcv event, t=57.906, at 1 src: 2, dest: 1, contents:   1   1   0   2
MAIN: rcv event, t=58.056, at 0 src: 3, dest: 0, contents:   4 999   3   0
MAIN: rcv event, t=58.668, at 3 src: 0, dest: 3, contents:   2   1   3   7
MAIN: rcv event, t=58.887, at 1 src: 2, dest: 1, contents:   1   1   0   2
MAIN: rcv event, t=59.071, at 2 src: 3, dest: 2, contents:   4 999   3   0
MAIN: rcv event, t=59.458, at 3 src: 0, dest: 3, contents:   4   1   3   7
MAIN: rcv event, t=59.833, at 0 src: 3, dest: 0, contents:   4 999   3   0
MAIN: rcv event, t=60.259, at 1 src: 2, dest: 1, contents:   1   1   0   2
MAIN: rcv event, t=60.425, at 0 src: 2, dest: 0, contents:   1   1   0   2
MAIN: rcv event, t=60.439, at 2 src: 0, dest: 2, contents:   2   1   3   7
MAIN: rcv event, t=61.145, at 2 src: 1, dest: 2, contents:   2   0   1 999
MAIN: rcv event, t=61.267, at 3 src: 2, dest: 3, contents:   1   1   0   2
MAIN: rcv event, t=61.465, at 0 src: 2, dest: 0, contents:   1   1   0   2
MAIN: rcv event, t=61.558, at 0 src: 3, dest: 0, contents:   4 999   3   0
MAIN: rcv event, t=61.826, at 3 src: 0, dest: 3, contents:   2   1   3   7
MAIN: rcv event, t=61.842, at 1 src: 2, dest: 1, contents:   1   1   0   2
MAIN: rcv event, t=61.938, at 0 src: 2, dest: 0, contents:   1   1   0   2
MAIN: rcv event, t=62.778, at 2 src: 0, dest: 2, contents:   2   1   3   7
MAIN: rcv event, t=63.012, at 0 src: 2, dest: 0, contents:   1   1   0   2
MAIN: rcv event, t=63.149, at 3 src: 2, dest: 3, contents:   1   1   0   2
MAIN: rcv event, t=63.166, at 1 src: 0, dest: 1, contents:   2   1   3   7
MAIN: rcv event, t=63.833, at 2 src: 3, dest: 2, contents:   4 999   3   0
MAIN: rcv event, t=64.070, at 0 src: 3, dest: 0, contents:   4 999   3   0
MAIN: rcv event, t=64.413, at 3 src: 0, dest: 3, contents:   2   1   3   7
MAIN: rcv event, t=64.569, at 2 src: 3, dest: 2, contents:   4 999   3   0
MAIN: rcv event, t=64.643, at 3 src: 0, dest: 3, contents:   2   1   3   7
MAIN: rcv event, t=64.659, at 1 src: 0, dest: 1, contents:   2   1   3   7
MAIN: rcv event, t=64.770, at 2 src: 0, dest: 2, contents:   4   1   3   7
MAIN: rcv event, t=65.138, at 3 src: 2, dest: 3, contents:   1   1   0   2
MAIN: rcv event, t=65.252, at 0 src: 2, dest: 0, contents:   1   1   0   2
MAIN: rcv event, t=65.684, at 1 src: 2, dest: 1, contents:   1   1   0   2
MAIN: rcv event, t=66.028, at 2 src: 1, dest: 2, contents:   2   0   1 999
MAIN: rcv event, t=66.141, at 3 src: 0, dest: 3, contents:   2   1   3   7
MAIN: rcv event, t=66.453, at 1 src: 0, dest: 1, contents:   4   1   3   7
MAIN: rcv event, t=66.590, at 0 src: 1, dest: 0, contents:   2   0   1 999
MAIN: rcv event, t=66.654, at 1 src: 2, dest: 1, contents:   1   1   0   2
MAIN: rcv event, t=67.150, at 2 src: 0, dest: 2, contents:   2   1   3   7
MAIN: rcv event, t=67.377, at 3 src: 0, dest: 3, contents:   2   1   3   7
MAIN: rcv event, t=67.655, at 0 src: 2, dest: 0, contents:   1   1   0   2
MAIN: rcv event, t=68.132, at 2 src: 0, dest: 2, contents:   2   1   3   7
MAIN: rcv event, t=68.193, at 1 src: 2, dest: 1, contents:   1   1   0   2
MAIN: rcv event, t=68.904, at 0 src: 3, dest: 0, contents:   4 999   3   0
MAIN: rcv event, t=69.173, at 3 src: 2, dest: 3, contents:   1   1   0   2
MAIN: rcv event, t=69.442, at 3 src: 0, dest: 3, contents:   2   1   3   7
MAIN: rcv event, t=69.491, at 1 src: 0, dest: 1, contents:   2   1   3   7
MAIN: rcv event, t=69.567, at 2 src: 1, dest: 2, contents:   2   0   1 999
MAIN: rcv event, t=70.036, at 1 src: 0, dest: 1, contents:   2   1   3   7
MAIN: rcv event, t=70.186, at 2 src: 3, dest: 2, contents:   4 999   3   0
MAIN: rcv event, t=70.521, at 0 src: 1, dest: 0, contents:   2   0   1 999
MAIN: rcv event, t=70.804, at 3 src: 2, dest: 3, contents:   1   1   0   2
MAIN: rcv event, t=70.964, at 1 src: 0, dest: 1, contents:   2   1   3   7
MAIN: rcv event, t=71.476, at 1 src: 0, dest: 1, contents:   2   1   3   7
MAIN: rcv event, t=72.061, at 3 src: 0, dest: 3, contents:   2   1   3   7
MAIN: rcv event, t=72.106, at 0 src: 2, dest: 0, contents:   1   1   0   2
MAIN: rcv event, t=72.128, at 2 src: 0, dest: 2, contents:   2   1   3   7
MAIN: rcv event, t=72.526, at 1 src: 0, dest: 1, contents:   4   1   3   7
MAIN: rcv event, t=73.082, at 1 src: 2, dest: 1, contents:   1   1   0   2
MAIN: rcv event, t=73.095, at 2 src: 0, dest: 2, contents:   2   1   3   7
MAIN: rcv event, t=73.116, at 2 src: 1, dest: 2, contents:   2   0   1 999
MAIN: rcv event, t=73.570, at 3 src: 2, dest: 3, contents:   1   1   0   2
MAIN: rcv event, t=73.696, at 0 src: 3, dest: 0, contents:   4 999   3   0
